Data ke,Suhu Min,Suhu Max,Curah Hujan (mm),Kategori Curah Hujan,Kategori Hujan (num),Arah Angin,Actual Class,Predicted Class,Execution Time
81,24.2,33.6,0.0,4.0,0.0,1.0,0,0,0.5898475646972656
82,24.6,33.6,14.5,1.0,1.0,1.0,0,0,0.5922317504882812
83,24.6,33.2,2.4,1.0,1.0,1.0,2,0,0.6017684936523438
84,25.2,32.4,0.0,4.0,0.0,1.0,2,0,0.5817413330078125
85,24.9,32.6,4.5,1.0,1.0,1.0,2,0,0.6589889526367188
86,24.8,33.0,1.2,1.0,1.0,1.0,2,0,0.6518363952636719
87,24.6,34.4,18.6,1.0,1.0,1.0,2,0,0.5762577056884766
88,24.6,34.0,43.9,3.0,2.0,1.0,2,0,0.5600452423095703
89,24.4,33.0,24.4,3.0,2.0,1.0,2,0,0.5600452423095703
90,23.8,31.8,28.4,3.0,2.0,1.0,2,0,0.5571842193603516
91,24.4,32.2,0.4,1.0,1.0,1.0,2,0,0.5764961242675781
92,23.2,32.4,19.5,1.0,1.0,1.0,2,0,0.6458759307861328
93,23.6,33.5,0.0,4.0,0.0,1.0,2,0,0.6003379821777344
94,25.0,33.4,0.0,4.0,0.0,1.0,0,0,0.6022453308105469
95,25.0,33.0,0.0,4.0,0.0,1.0,2,0,0.6067752838134766
96,24.0,32.4,1.0,1.0,1.0,1.0,2,0,0.5924701690673828
97,24.2,32.8,19.7,1.0,1.0,7.0,2,0,0.6394386291503906
98,24.0,34.4,1.0,1.0,1.0,1.0,2,0,0.6783008575439453
99,23.8,30.4,15.5,1.0,1.0,1.0,2,0,0.5652904510498047
100,24.1,30.6,2.7,1.0,1.0,1.0,2,0,0.5431175231933594
101,23.7,32.8,27.8,3.0,2.0,1.0,2,0,0.5850791931152344
102,24.0,33.6,0.0,4.0,0.0,1.0,2,0,0.5643367767333984
103,23.5,33.1,51.8,0.0,3.0,1.0,2,0,0.6563663482666016
104,23.2,32.6,83.8,0.0,3.0,1.0,2,2,0.5934238433837891
105,23.4,31.6,89.4,0.0,3.0,1.0,2,2,0.6089210510253906
106,23.4,32.0,78.6,0.0,3.0,1.0,2,2,0.5824565887451172
107,23.8,32.9,38.7,3.0,2.0,1.0,2,0,0.5614757537841797
108,22.8,31.6,95.8,0.0,3.0,1.0,2,2,0.659942626953125
109,23.2,29.8,10.7,1.0,1.0,1.0,2,0,0.637054443359375
110,23.2,30.7,0.0,4.0,0.0,1.0,2,0,0.6372928619384766
111,24.2,31.4,0.0,4.0,0.0,1.0,2,0,0.5586147308349609
112,24.6,29.2,0.8,1.0,1.0,1.0,2,0,0.576019287109375
113,23.4,30.6,0.4,1.0,1.0,1.0,2,0,0.6303787231445312
114,24.0,31.8,0.0,4.0,0.0,1.0,2,0,0.5600452423095703
115,23.6,32.0,4.9,1.0,1.0,1.0,2,0,0.5953311920166016
116,23.4,30.6,6.2,1.0,1.0,1.0,2,0,0.6031990051269531
117,23.0,31.0,0.0,4.0,0.0,1.0,2,0,0.6003379821777344
118,23.2,33.0,0.0,4.0,0.0,1.0,2,0,0.5817413330078125
119,24.0,34.7,0.0,4.0,0.0,1.0,2,0,0.6957054138183594
120,23.2,31.1,0.0,4.0,0.0,1.0,2,0,0.6287097930908203
121,23.2,30.4,0.2,1.0,1.0,7.0,2,0,0.5834102630615234
122,24.2,29.4,0.5,1.0,1.0,1.0,2,0,0.5948543548583984
123,23.9,29.8,0.0,4.0,0.0,1.0,2,0,0.7071495056152344
124,23.8,27.4,2.0,1.0,1.0,1.0,2,0,0.6182193756103516
125,23.6,28.5,16.7,1.0,1.0,1.0,2,0,0.5958080291748047
126,23.6,33.0,5.8,1.0,1.0,1.0,2,0,0.5934238433837891
127,23.8,31.3,10.8,1.0,1.0,1.0,2,0,0.6082057952880859
128,24.0,31.7,26.3,3.0,2.0,1.0,2,0,0.6029605865478516
129,23.5,31.0,11.9,1.0,1.0,1.0,2,0,0.5915164947509766
130,23.8,32.6,0.5,1.0,1.0,1.0,2,0,0.6604194641113281
131,24.0,29.8,0.1,1.0,1.0,1.0,2,0,0.5691051483154297
132,24.2,31.8,0.0,4.0,0.0,1.0,2,0,0.5688667297363281
133,23.4,33.6,17.5,1.0,1.0,1.0,2,0,0.5457401275634766
134,23.6,34.4,19.0,1.0,1.0,1.0,2,0,0.5784034729003906
135,24.0,33.0,0.9,1.0,1.0,1.0,2,0,0.6392002105712891
136,24.2,32.5,38.8,3.0,2.0,1.0,2,0,0.6756782531738281
137,23.3,32.5,52.4,0.0,3.0,1.0,2,0,0.6146430969238281
138,23.4,32.8,2.5,1.0,1.0,1.0,2,0,0.5931854248046875
139,23.6,32.8,13.2,1.0,1.0,1.0,2,0,0.5803108215332031
140,23.6,31.4,0.0,4.0,0.0,1.0,2,0,0.5738735198974609
141,23.8,33.7,50.3,0.0,3.0,1.0,2,0,0.6473064422607422
142,24.0,30.8,4.1,1.0,1.0,1.0,2,0,0.6189346313476562
143,24.4,33.2,0.0,4.0,0.0,1.0,2,0,0.5733966827392578
144,24.3,30.8,7.5,1.0,1.0,1.0,2,0,0.5474090576171875
145,23.2,32.4,15.9,1.0,1.0,1.0,2,0,0.5612373352050781
146,23.4,24.0,15.5,1.0,1.0,1.0,2,0,0.6210803985595703
147,24.0,33.3,0.0,4.0,0.0,1.0,2,0,0.5817413330078125
148,24.2,33.4,3.6,1.0,1.0,1.0,2,0,0.5671977996826172
149,24.8,33.0,0.0,4.0,0.0,1.0,2,0,0.6670951843261719
150,24.2,33.7,30.9,3.0,2.0,1.0,2,0,0.6022453308105469
151,23.8,33.0,6.0,1.0,1.0,1.0,2,0,0.6506443023681641
152,24.0,33.4,4.3,1.0,1.0,1.0,2,0,0.6148815155029297
153,23.8,35.0,0.0,4.0,0.0,1.0,2,0,0.5857944488525391
154,24.8,30.0,3.5,1.0,1.0,1.0,2,0,0.5674362182617188
155,23.9,34.2,7.0,1.0,1.0,1.0,2,0,0.5466938018798828
156,24.0,31.8,57.3,0.0,3.0,1.0,2,0,0.6036758422851562
157,24.3,32.0,0.0,4.0,0.0,1.0,2,0,0.6387233734130859
158,23.0,31.4,18.5,1.0,1.0,1.0,2,0,0.6029605865478516
159,22.6,33.6,4.0,1.0,1.0,1.0,2,0,0.5695819854736328
160,23.8,33.0,27.5,3.0,2.0,1.0,2,0,0.6234645843505859
161,25.4,31.2,16.2,1.0,1.0,1.0,2,0,0.6494522094726562
162,23.8,33.0,0.5,1.0,1.0,1.0,2,0,0.5581378936767578
163,23.8,33.8,69.2,0.0,3.0,1.0,2,2,0.6372928619384766
164,24.0,33.4,1.6,1.0,1.0,1.0,2,0,0.6394386291503906
165,23.9,33.2,2.8,1.0,1.0,1.0,2,0,0.6287097930908203
166,24.2,32.6,0.0,4.0,0.0,1.0,2,0,0.5650520324707031
167,24.8,33.4,2.0,1.0,1.0,1.0,2,0,0.5595684051513672
168,24.2,32.8,0.0,4.0,0.0,1.0,2,0,0.6158351898193359
169,23.8,33.2,6.5,1.0,1.0,1.0,2,0,0.5903244018554688
170,23.8,33.4,1.3,1.0,1.0,1.0,2,0,0.5769729614257812
171,24.4,31.6,0.0,4.0,0.0,1.0,2,0,0.598907470703125
172,24.9,31.4,2.9,1.0,1.0,1.0,2,0,0.5977153778076172
173,23.8,33.4,0.0,4.0,0.0,1.0,2,0,0.5793571472167969
174,24.0,32.4,8.5,1.0,1.0,1.0,2,0,0.7145404815673828
175,24.0,32.4,11.5,1.0,1.0,1.0,2,0,0.6191730499267578
176,24.2,33.4,3.8,1.0,1.0,1.0,2,0,0.5843639373779297
177,24.7,32.6,0.0,4.0,0.0,1.0,0,0,0.6017684936523438
178,24.6,33.8,2.5,1.0,1.0,1.0,0,0,0.5753040313720703
179,24.0,34.2,0.0,4.0,0.0,1.0,0,0,0.6444454193115234
180,25.0,33.6,1.2,1.0,1.0,1.0,0,0,0.5948543548583984
181,25.2,33.7,2.6,1.0,1.0,1.0,2,0,0.5962848663330078
182,23.8,33.8,37.2,3.0,2.0,1.0,2,0,0.5970001220703125
183,23.4,34.0,62.5,0.0,3.0,1.0,2,0,0.6048679351806641
184,23.8,33.4,0.0,4.0,0.0,1.0,2,0,0.5850791931152344
185,23.7,34.0,0.7,1.0,1.0,1.0,2,0,0.6592273712158203
186,24.8,33.5,0.0,4.0,0.0,1.0,2,0,0.5805492401123047
187,24.4,33.2,52.6,0.0,3.0,1.0,2,0,0.6577968597412109
188,24.0,34.6,53.9,0.0,3.0,1.0,2,0,0.6051063537597656
189,23.7,34.5,0.0,4.0,0.0,1.0,2,0,0.5648136138916016
190,24.0,33.8,0.0,4.0,0.0,1.0,0,0,0.6000995635986328
191,24.8,34.0,0.0,4.0,0.0,1.0,0,0,0.5905628204345703
192,24.6,34.0,0.5,1.0,1.0,1.0,0,0,0.5769729614257812
193,24.8,33.6,4.5,1.0,1.0,1.0,2,0,0.5984306335449219
194,24.6,32.4,0.0,4.0,0.0,1.0,2,0,0.6361007690429688
195,24.0,32.2,9.2,1.0,1.0,1.0,2,0,0.5776882171630859
196,23.6,32.0,2.0,1.0,1.0,1.0,2,0,0.6330013275146484
197,23.8,33.0,0.0,4.0,0.0,1.0,2,0,0.5984306335449219
198,22.6,33.2,0.6,1.0,1.0,1.0,2,0,0.6139278411865234
199,23.4,34.0,0.0,4.0,0.0,1.0,2,0,0.6740093231201172
200,24.0,34.2,0.0,4.0,0.0,1.0,0,0,0.5598068237304688
201,23.6,34.4,0.0,4.0,0.0,1.0,2,0,0.6079673767089844
202,23.4,34.6,0.0,4.0,0.0,1.0,0,0,0.6160736083984375
