Data ke,Suhu Min,Suhu Max,Curah Hujan (mm),Kategori Curah Hujan,Kategori Hujan (num),Arah Angin,Actual Class,Predicted Class,Execution Time,Arduino Prediction,Arduino Execution Time
67,24.2,33.3,0.5,1.0,1.0,1.0,2,0,0.0001571178436279297,0,0.035559
68,24.4,32.5,9.0,1.0,1.0,1.0,2,0,0.00015735626220703125,0,0.035552
69,24.4,33.0,17.7,1.0,1.0,1.0,2,0,0.0001609325408935547,0,0.035552
70,24.2,32.2,3.9,1.0,1.0,1.0,2,0,0.0001552104949951172,0,0.035641
71,23.6,32.2,80.3,0.0,3.0,1.0,2,2,0.00015783309936523438,2,0.03556
72,23.8,30.2,79.3,0.0,3.0,1.0,2,2,0.00015687942504882812,2,0.035404
73,23.4,31.4,0.7,1.0,1.0,1.0,2,0,0.0001571178436279297,0,0.035563
74,23.7,33.0,0.8,1.0,1.0,1.0,2,0,0.00015807151794433594,0,0.035548
75,24.6,31.9,0.0,4.0,0.0,1.0,2,0,0.0001552104949951172,0,0.035448
76,23.4,33.2,6.0,1.0,1.0,1.0,2,0,0.00015616416931152344,0,0.03552
77,24.0,33.4,0.0,4.0,0.0,1.0,2,0,0.00015592575073242188,0,0.035392
78,24.2,34.8,0.0,4.0,0.0,1.0,0,0,0.00015687942504882812,0,0.035424
79,23.0,35.0,0.0,4.0,0.0,1.0,2,0,0.0001590251922607422,0,0.035389
80,24.0,34.2,0.0,4.0,0.0,1.0,2,0,0.00015592575073242188,0,0.035409
81,24.2,33.6,0.0,4.0,0.0,1.0,0,0,0.00015783309936523438,0,0.035413
82,24.6,33.6,14.5,1.0,1.0,1.0,0,0,0.00015401840209960938,0,0.035566
83,24.6,33.2,2.4,1.0,1.0,1.0,2,0,0.0001583099365234375,0,0.035493
84,25.2,32.4,0.0,4.0,0.0,1.0,2,0,0.00015592575073242188,0,0.035464
85,24.9,32.6,4.5,1.0,1.0,1.0,2,0,0.00015783309936523438,0,0.035542
86,24.8,33.0,1.2,1.0,1.0,1.0,2,0,0.00015687942504882812,0,0.035512
87,24.6,34.4,18.6,1.0,1.0,1.0,2,0,0.00016117095947265625,0,0.03555
88,24.6,34.0,43.9,3.0,2.0,1.0,2,0,0.00015425682067871094,0,0.035474
89,24.4,33.0,24.4,3.0,2.0,1.0,2,0,0.00015783309936523438,0,0.035493
90,23.8,31.8,28.4,3.0,2.0,1.0,2,0,0.00015807151794433594,0,0.035609
91,24.4,32.2,0.4,1.0,1.0,1.0,2,0,0.00015616416931152344,0,0.03567
92,23.2,32.4,19.5,1.0,1.0,1.0,2,0,0.0001571178436279297,0,0.035613
93,23.6,33.5,0.0,4.0,0.0,1.0,2,0,0.00015282630920410156,0,0.035394
94,25.0,33.4,0.0,4.0,0.0,1.0,0,0,0.00015687942504882812,0,0.035418
95,25.0,33.0,0.0,4.0,0.0,1.0,2,0,0.0001571178436279297,0,0.03541
96,24.0,32.4,1.0,1.0,1.0,1.0,2,0,0.00015306472778320312,0,0.035557
97,24.2,32.8,19.7,1.0,1.0,7.0,2,0,0.0001590251922607422,0,0.035526
98,24.0,34.4,1.0,1.0,1.0,1.0,2,0,0.00015282630920410156,0,0.035503
99,23.8,30.4,15.5,1.0,1.0,1.0,2,0,0.00015687942504882812,0,0.035561
100,24.1,30.6,2.7,1.0,1.0,1.0,2,0,0.00015616416931152344,0,0.035518
101,23.7,32.8,27.8,3.0,2.0,1.0,2,0,0.00015592575073242188,0,0.035561
102,24.0,33.6,0.0,4.0,0.0,1.0,2,0,0.00015425682067871094,0,0.035398
103,23.5,33.1,51.8,0.0,3.0,1.0,2,0,0.00015401840209960938,0,0.035482
104,23.2,32.6,83.8,0.0,3.0,1.0,2,2,0.00015401840209960938,2,0.035542
105,23.4,31.6,89.4,0.0,3.0,1.0,2,2,0.00015807151794433594,2,0.035522
106,23.4,32.0,78.6,0.0,3.0,1.0,2,2,0.00016689300537109375,2,0.035474
107,23.8,32.9,38.7,3.0,2.0,1.0,2,0,0.0001609325408935547,0,0.035484
108,22.8,31.6,95.8,0.0,3.0,1.0,2,2,0.000179290771484375,2,0.035499
109,23.2,29.8,10.7,1.0,1.0,1.0,2,0,0.0001590251922607422,0,0.035495
110,23.2,30.7,0.0,4.0,0.0,1.0,2,0,0.00015926361083984375,0,0.035421
111,24.2,31.4,0.0,4.0,0.0,1.0,2,0,0.00015687942504882812,0,0.035413
112,24.6,29.2,0.8,1.0,1.0,1.0,2,0,0.00015592575073242188,0,0.035562
113,23.4,30.6,0.4,1.0,1.0,1.0,2,0,0.0001583099365234375,0,0.035592
114,24.0,31.8,0.0,4.0,0.0,1.0,2,0,0.00015401840209960938,0,0.035432
115,23.6,32.0,4.9,1.0,1.0,1.0,2,0,0.00015306472778320312,0,0.035567
116,23.4,30.6,6.2,1.0,1.0,1.0,2,0,0.00015306472778320312,0,0.035501
